Sorting algorithm,Data type,Values state,Array size,Repetition 1,Repetition 2,Repetition 3,Repetition 4,Repetition 5,Repetition 6,Repetition 7,Repetition 8,Repetition 9,Repetition 10
Selection sort,Int 32,Not ordered,1000,75,31,30,29,31,29,29,29,30,30
Selection sort,Int 32,Not ordered,2000,164,122,123,120,122,121,121,120,121,120
Selection sort,Int 32,Not ordered,3000,368,269,274,274,272,270,273,271,275,277
Selection sort,Int 32,Ascending order,1000,30,30,29,35,31,31,29,29,29,29
Selection sort,Int 32,Ascending order,2000,119,120,120,118,119,118,121,119,118,119
Selection sort,Int 32,Ascending order,3000,268,267,272,267,267,272,267,272,268,267
Selection sort,Int 32,Descending order,1000,48,29,29,30,29,29,29,29,29,30
Selection sort,Int 32,Descending order,2000,195,118,124,120,126,120,118,121,117,123
Selection sort,Int 32,Descending order,3000,437,267,275,267,267,269,267,269,268,270
Selection sort,String,Not ordered,1000,119,97,98,98,97,102,98,98,100,100
Selection sort,String,Not ordered,2000,477,403,400,402,401,405,403,402,401,400
Selection sort,String,Not ordered,3000,1077,882,718,729,718,721,719,719,727,716
Selection sort,String,Ascending order,1000,79,78,77,77,78,77,78,78,78,80
Selection sort,String,Ascending order,2000,317,316,322,318,316,320,319,336,322,321
Selection sort,String,Ascending order,3000,734,721,720,718,720,720,719,721,716,718
Selection sort,String,Descending order,1000,110,78,78,78,79,77,78,78,77,83
Selection sort,String,Descending order,2000,457,314,315,316,315,319,314,317,314,316
Selection sort,String,Descending order,3000,1049,717,724,717,717,719,721,718,721,716
Selection sort,Double,Not ordered,1000,46,30,32,31,33,31,30,30,30,31
Selection sort,Double,Not ordered,2000,174,124,125,122,123,122,136,122,123,123
Selection sort,Double,Not ordered,3000,405,285,280,278,277,281,283,278,282,276
Selection sort,Double,Ascending order,1000,31,30,30,31,31,33,30,32,32,31
Selection sort,Double,Ascending order,2000,123,123,129,122,123,123,123,123,122,123
Selection sort,Double,Ascending order,3000,282,277,279,294,278,278,278,279,278,280
Selection sort,Double,Descending order,1000,52,31,31,31,31,31,31,32,32,31
Selection sort,Double,Descending order,2000,215,123,123,125,123,123,125,135,124,132
Selection sort,Double,Descending order,3000,480,281,277,279,281,286,280,277,279,284
Selection sort,Int 64,Not ordered,1000,47,31,30,30,31,31,30,31,30,30
Selection sort,Int 64,Not ordered,2000,173,126,122,122,122,122,124,122,124,125
Selection sort,Int 64,Not ordered,3000,389,275,276,283,275,276,277,296,279,275
Selection sort,Int 64,Ascending order,1000,31,32,30,31,31,30,30,30,30,32
Selection sort,Int 64,Ascending order,2000,126,128,125,129,131,126,127,125,125,126
Selection sort,Int 64,Ascending order,3000,277,277,276,276,276,278,275,279,284,277
Selection sort,Int 64,Descending order,1000,52,31,31,31,31,30,30,30,30,30
Selection sort,Int 64,Descending order,2000,204,123,124,131,122,124,125,123,123,122
Selection sort,Int 64,Descending order,3000,461,278,277,280,275,276,294,277,278,275
Insertion sort,Int 32,Not ordered,1000,43,0,0,0,0,0,0,0,0,0
Insertion sort,Int 32,Not ordered,2000,137,0,0,0,0,0,0,0,0,0
